Timestamp,1.1 What gender do you identify as?,1.2 What is your age?,1.3 What is your level of education?,1.4 How familiar are you with video games?,1.5 How familiar are you with stealth games?,"1.6 On average, how many hours do you play video games per week?",1.7 What game genres do you play most often?,1.8 Have you studied anything related to game development or design in the past?,1.9 Have you studied anything related to AI development in the past?,2.1 The AI agents appeared to be aware of their environment.,2.3 I was able to predict how the AI agents would react to my actions.,2.4 The AI behavior followed understandable patterns.,2.6 The AI behavior felt natural rather than scripted.,2.7 The AI agents reacted directly to my actions.,2.9 Sometimes the AI had access to information it should not have had.,3.1 The AI agents appeared to be aware of their environment.,3.3 I was able to predict how the AI agents would react to my actions.,3.4 The AI behavior followed understandable patterns.,3.6 The AI behavior felt natural rather than scripted.,3.7 The AI agents reacted directly to my actions.,3.9 Sometimes the AI had access to information it should not have had.,4.1 The AI agents appeared to be aware of their environment.,4.3 I was able to predict how the AI agents would react to my actions.,4.4 The AI behavior followed understandable patterns.,4.6 The AI behavior felt natural rather than scripted.,4.7 The AI agents reacted directly to my actions.,4.9 Sometimes the AI had access to information it should not have had.,5.1 The AI agents appeared to be aware of their environment.,5.3 I was able to predict how the AI agents would react to my actions.,5.4 The AI behavior followed understandable patterns.,5.6 The AI behavior felt natural rather than scripted.,5.7 The AI agents reacted directly to my actions.,5.9 Sometimes the AI had access to information it should not have had.,"6.1 Across all runs, I noticed meaningful differences in AI behavior.",6.2 The final AI system felt satisfying to play with.,6.3  Which level had the most believable AI behavior?,Session ID
6/11/2026 1:08:29,Prefer not to say,25–34,Master's degree,3,2,0–2 hours,Simulation,Yes,No,2,4,5,1,4,1,4,4,5,2,4,1,5,5,5,3,5,2,5,5,5,4,5,3,4,4,Level 4,48b3be53-fb3e-4433-84c1-6ff555c9375d
6/11/2026 11:19:11,Male,18–24,Bachelor's degree,4,4,0–2 hours,"Stealth, Action, Shooter, Strategy, RPG",No,No,4,5,5,2,3,3,5,5,4,3,5,4,5,5,4,4,5,3,5,5,5,5,5,2,5,5,Level 4,1bd23948-c9d4-491f-93e5-96f3773e5dbb
6/11/2026 12:12:41,Female,18–24,Bachelor's degree,2,1,0–2 hours,Puzzle,No,Yes,4,4,5,5,4,2,4,3,4,4,3,4,5,5,5,5,4,2,5,5,5,5,4,2,4,5,Level 3,b3811470-29a6-4f82-85a8-3854138d87d9
6/11/2026 13:44:49,Male,25–34,Master's degree,3,3,0–2 hours,"Puzzle, RPG, Strategy, Simulation, Other",No,No,4,4,3,4,4,1,4,3,4,4,4,2,5,3,3,5,4,2,4,4,4,4,4,1,4,4,Level 3,a69214e9-cb87-40a6-80d8-0f39cf9e49a8
6/12/2026 15:05:35,Female,18–24,Bachelor's degree,4,2,3–5 hours,"Puzzle, Strategy, RPG, Simulation, Other",No,No,4,2,1,4,4,4,4,5,5,4,5,1,4,4,3,2,5,1,4,3,2,5,4,1,4,5,Level 4,9f10378e-838f-4d5e-9419-84d93873dffd
6/12/2026 18:42:33,Male,35–44,Doctorate,5,5,3–5 hours,"Action, Stealth, RPG, Strategy, Puzzle",No,Yes,4,4,5,3,4,2,5,4,4,4,4,3,4,4,4,4,4,4,5,3,3,5,5,4,5,3,Level 3,4c19c550-ab38-4ce8-855e-781c3c273b4b
6/14/2026 13:59:12,Female,18–24,Secondary education,4,1,6–10 hours,"Puzzle, Simulation, Shooter, Strategy",No,No,3,2,2,4,3,1,4,3,3,4,4,1,5,4,4,4,5,1,5,4,4,4,5,1,5,4,Level 4,862ab57b-0fb2-478d-9d17-cfa26206adc3
6/15/2026 14:00:22,Male,18–24,Bachelor's degree,5,4,6–10 hours,"Stealth, Action, Shooter, RPG, Survival Horror, Other",No,No,4,4,3,5,4,2,4,4,4,5,5,2,5,5,3,5,5,2,5,5,4,4,5,2,5,4,Level 3,90298ee3-ac1f-4af4-ae46-41cb1fcf0813
6/15/2026 14:12:07,Male,18–24,Bachelor's degree,4,3,11–20 hours,"RPG, Action, Shooter",Yes,Yes,4,2,3,5,3,2,4,3,4,5,4,2,5,1,3,5,5,3,5,1,1,5,4,2,4,5,Level 3,45dd7885-8136-4604-89be-7b937806bb0d
6/15/2026 14:26:22,Male,25–34,Bachelor's degree,4,3,6–10 hours,"Strategy, Puzzle",Yes,No,4,4,4,4,4,2,3,4,4,2,2,2,5,4,4,4,5,2,4,4,4,4,4,2,5,4,Level 3,cf992cb3-b414-4d8d-90c4-e77bb694f354
6/15/2026 19:00:43,Male,18–24,Secondary education,5,3,6–10 hours,"RPG, Shooter, Action, Other",No,No,4,3,2,4,4,4,4,2,2,4,4,4,5,2,2,4,5,4,4,2,2,4,4,4,4,4,Level 3,2fd2fdbe-2870-4d99-928f-49e60c6f94ee
6/15/2026 22:23:53,Female,25–34,Master's degree,2,1,0–2 hours,Puzzle,No,No,4,3,3,3,4,2,4,3,3,3,4,2,4,4,4,3,4,2,4,4,4,4,4,2,3,4,Level 4,a933cf30-ece7-49c1-9629-085861167b24
